chid,calib,unc
0,328.0982905376902,1.2366925337861405
1,332.79775747835015,0.7513691124071512
2,301.50694190042975,0.9264643566754885
3,278.2475191654089,0.9372670601074871
4,216.39768782453427,1.1209289551487922
5,182.9114000141759,1.1649857787647109
7,145.09731216261773,0.6962328421721965
10,334.7508334160482,0.9816911899756584
11,325.03113423601354,1.182267370929439
12,306.7828515596753,1.1175516682270639
13,281.3714912565782,0.993324493652691
14,257.5704138476736,0.9837859704846241
15,258.1913034070096,1.057846326924518
